,class,player,minutes_per,off_reb_per,def_reb_per,assist_per,block_per,steal_per,free_throw_per,two_point_per,three_point_per
0,Jr,Aaron Henry,80.9,4.8,14.6,25.2,4.1,2.4,28.9,0.493,0.296
1,Jr,Aaron Wiggins,83.3,4.5,15.9,17.2,2.0,2.1,20.3,0.515,0.346
2,Jr,Alan Griffin,72.8,6.3,15.2,12.2,6.6,2.3,19.0,0.514,0.354
3,Sr,Alfonso Plummer,69.8,1.3,7.9,7.5,0.2,1.5,12.1,0.526,0.383
4,So,Armando Bacot,56.6,14.5,22.3,7.3,4.3,1.6,58.3,0.631,0.0
5,Sr,Austin Reaves,78.7,2.8,15.1,27.0,1.0,1.5,54.1,0.512,0.305
6,So,Avery Anderson III,67.1,1.8,12.2,12.5,1.1,2.7,38.1,0.522,0.328
7,Jr,Ayo Dosunmu,78.4,3.9,15.8,29.2,0.6,1.8,33.3,0.513,0.386
8,So,Balsa Koprivica,46.4,13.6,19.5,7.7,8.0,0.9,41.5,0.596,1.0
9,Fr,Brandon Boston Jr.,75.9,4.7,11.1,11.3,0.5,2.5,22.4,0.384,0.3
10,Sr,CJ Walker,64.5,1.6,10.2,26.5,0.4,1.8,42.0,0.457,0.265
11,Fr,Cade Cunningham,78.0,2.3,16.2,20.2,2.3,2.5,38.9,0.463,0.4
12,Fr,Cameron Thomas,84.6,2.0,8.2,8.3,0.7,1.4,44.0,0.464,0.325
13,Sr,Carlik Jones,88.6,2.2,12.4,26.2,0.3,2.2,32.7,0.422,0.321
14,Sr,Chandler Vaudrin,78.9,1.9,24.6,38.5,0.4,2.2,58.0,0.494,0.375
15,Jr,Charles Bassey,72.8,13.2,30.8,5.6,11.5,0.7,35.3,0.652,0.305
16,Jr,Colin Castleton,62.1,11.9,16.6,8.6,9.2,1.2,51.6,0.6,0.0
17,Fr,DJ Steward,76.1,4.4,10.5,13.8,2.1,2.0,20.0,0.504,0.341
18,Sr,Damien Jefferson,76.6,5.9,13.2,14.4,0.9,2.3,28.8,0.593,0.348
19,Jr,Darius Days,64.8,10.2,20.0,4.3,1.2,2.2,15.6,0.664,0.4
20,Sr,Darryl Morsell,71.9,2.7,13.3,19.3,2.4,1.8,27.1,0.558,0.245
21,Jr,David Duke,90.9,3.0,16.4,27.3,0.8,1.9,33.6,0.386,0.389
22,So,David Johnson,82.9,2.9,15.4,19.1,0.9,1.8,18.3,0.426,0.386
23,Jr,Davion Mitchell,80.8,1.7,8.1,28.3,1.3,3.4,21.4,0.565,0.447
24,Fr,Day'Ron Sharpe,47.9,18.3,23.8,15.4,5.1,2.3,46.8,0.523,0.0
25,So,De'Vion Harmon,72.7,1.8,10.3,12.7,0.0,2.0,21.5,0.569,0.33
26,Jr,Duane Washington Jr.,79.4,0.6,11.1,18.8,0.1,0.8,21.8,0.458,0.374
27,Jr,Eric Ayala,81.2,2.0,12.7,14.1,0.5,2.1,39.0,0.55,0.337
28,Fr,Evan Mobley,83.6,9.7,18.8,14.1,8.7,1.4,56.6,0.615,0.3
29,Jr,Feron Hunt,66.3,8.5,22.4,4.3,3.5,2.1,36.0,0.65,0.2
30,Sr,Geo Baker,69.3,1.2,9.8,19.1,1.5,2.3,13.2,0.521,0.303
31,Sr,Herbert Jones,67.9,9.4,15.2,21.7,4.0,3.4,45.0,0.47,0.351
32,Fr,Isaiah Jackson,51.1,11.3,23.4,7.5,12.8,2.1,65.7,0.548,0.0
33,So,Isaiah Wong,88.4,2.6,13.1,15.4,1.5,1.8,35.3,0.486,0.347
34,Fr,JT Thor,57.6,7.7,15.3,7.1,5.8,1.9,44.5,0.53,0.297
35,Fr,Jaden Springer,60.0,4.6,10.9,24.1,2.2,2.7,44.1,0.475,0.435
36,Fr,Jalen Wilson,68.8,8.6,22.7,14.1,1.2,0.9,43.1,0.474,0.322
37,Jr,James Akinjo,86.5,1.0,6.5,31.1,0.0,2.4,39.0,0.362,0.408
38,So,James Bouknight,51.4,5.3,15.0,12.8,0.9,2.2,37.0,0.528,0.293
39,Sr,Javion Hamlet,81.3,1.8,12.2,29.3,0.0,0.9,35.4,0.449,0.378
40,Jr,Javonte Smart,85.7,0.9,9.7,20.0,0.3,1.9,17.9,0.517,0.402
41,Sr,Jay Huff,67.3,8.9,24.6,8.1,11.9,1.3,22.6,0.69,0.387
42,So,Jeremiah Robinson-Earl,85.8,8.6,21.2,13.5,2.3,1.7,26.9,0.574,0.28
43,So,Jermaine Couisnard,54.6,2.8,9.9,21.5,0.5,2.5,26.0,0.314,0.289
44,Jr,Joel Ayayi,77.8,6.6,18.6,12.6,0.6,1.8,24.6,0.685,0.389
45,Sr,Jose Alvarado,90.6,2.5,9.4,21.0,0.1,4.5,28.7,0.59,0.39
46,Fr,Josh Christopher,44.2,2.4,16.2,9.8,1.9,2.7,31.3,0.496,0.305
47,So,Julian Champagnie,75.1,5.3,19.8,7.9,3.2,2.4,30.0,0.473,0.377
48,So,Justin Champagnie,78.1,10.8,25.6,10.4,4.3,2.0,34.4,0.534,0.311
49,Jr,Justin Minaya,71.8,8.0,15.3,9.9,2.7,1.2,18.8,0.554,0.233
50,So,Kai Jones,54.2,10.0,13.4,5.4,4.2,2.1,51.7,0.642,0.382
51,Jr,Kendric Davis,86.8,1.6,11.5,46.2,0.2,2.6,35.4,0.524,0.373
52,Fr,Keon Johnson,62.5,4.8,11.2,21.2,1.9,2.6,41.1,0.49,0.271
53,Jr,Keve Aluma,75.3,10.1,21.3,15.9,5.2,1.3,44.8,0.533,0.351
54,Jr,Mac McClung,75.0,1.6,9.1,15.1,1.3,1.6,38.2,0.47,0.341
55,Jr,Marcus Carr,88.3,2.1,10.0,31.5,0.4,2.1,42.9,0.433,0.317
56,Jr,Marcus Zegarowski,77.9,1.1,10.4,23.9,0.2,2.2,20.1,0.516,0.421
57,So,Matthew Hurt,80.7,5.1,17.0,8.1,2.1,1.3,25.7,0.635,0.444
58,Sr,Mike Smith,78.8,1.8,7.8,28.6,0.0,0.9,27.5,0.409,0.418
59,So,Miles McBride,84.3,3.7,9.2,28.6,1.0,3.2,33.9,0.437,0.414
60,Fr,Moses Moody,84.2,6.3,11.8,8.0,2.0,1.6,48.2,0.478,0.358
61,Fr,Moussa Cisse,46.4,13.4,23.7,5.0,10.5,0.9,51.0,0.556,0.0
62,Jr,Neemias Queta,76.1,10.7,26.8,18.4,13.4,2.0,47.9,0.562,0.0
63,Jr,Ochai Agbaji,84.6,2.9,9.1,11.1,1.6,1.9,21.1,0.486,0.371
64,Jr,Quentin Grimes,79.4,5.4,14.1,12.6,1.2,2.6,26.5,0.41,0.403
65,Jr,Ron Harper Jr.,76.7,3.5,16.8,9.9,2.3,1.2,26.3,0.543,0.31
66,Fr,Scottie Barnes,58.9,7.4,11.0,31.6,2.1,3.4,33.8,0.561,0.275
67,So,Scottie Lewis,53.5,4.0,9.8,10.4,4.4,3.5,43.0,0.512,0.318
68,So,Scotty Pippen Jr.,70.1,3.6,6.9,36.8,0.6,3.2,52.5,0.47,0.358
69,Jr,Sean McNeil,72.6,1.0,7.4,5.5,0.0,1.0,18.6,0.442,0.388
70,Sr,Tahj Eaddy,79.5,1.5,8.4,16.5,0.0,1.1,20.9,0.497,0.388
71,Sr,Taz Sherman,58.0,3.0,5.4,12.2,0.3,2.0,35.4,0.459,0.359
72,Sr,Terry Taylor,92.6,16.4,21.0,10.3,2.9,1.9,30.6,0.569,0.275
73,So,Tre Mann,76.2,2.6,17.1,22.3,0.6,2.4,30.7,0.494,0.402
74,So,Trendon Watford,83.1,5.3,16.8,15.6,2.0,1.8,42.9,0.512,0.316
75,Sr,Trent Frazier,83.2,0.6,8.2,12.8,0.4,2.1,31.4,0.462,0.362
76,Jr,Trevion Williams,62.2,17.5,25.0,24.9,3.0,1.6,29.1,0.529,0.0
77,Jr,Trey Murphy III,73.5,2.8,11.7,8.2,1.8,1.8,21.5,0.62,0.433
78,Fr,Ziaire Williams,50.7,2.4,16.4,16.4,2.2,1.7,24.1,0.427,0.291
